code,name,area,type
32270,Central Highlands (R) (Qld),59834.8359,lga
32310,Charters Towers (R),68382.1643,lga
32330,Cherbourg (S),31.6002,lga
32450,Cloncurry (S),47971.2596,lga
32500,Cook (S),105718.7588,lga
32600,Croydon (S),29497.9024,lga
32750,Diamantina (S),94730.4545,lga
32770,Doomadgee (S),1827.6518,lga
32810,Douglas (S),2427.8626,lga
33100,Etheridge (S),39199.2956,lga
33200,Flinders (S) (Qld),41199.9374,lga
33220,Fraser Coast (R),7104.5987,lga
33360,Gladstone (R),10484.2862,lga
33430,Gold Coast (C),1333.7031,lga
33610,Goondiwindi (R),19258.1008,lga
33620,Gympie (R),6883.9713,lga
33800,Hinchinbrook (S),2807.1889,lga
33830,Hope Vale (S),1111.7099,lga
33960,Ipswich (C),1093.857,lga
33980,Isaac (R),58707.9174,lga
34420,Kowanyama (S),2555.3325,lga
34530,Livingstone (S),11757.8683,lga
34570,Lockhart River (S),3575.4992,lga
34580,Lockyer Valley (R),2269.0053,lga
34590,Logan (C),958.1322,lga
34710,Longreach (R),40572.2443,lga
34770,Mackay (R),7613.2964,lga
34800,McKinlay (S),40736.7989,lga
34830,Mapoon (S),537.1003,lga
34860,Maranoa (R),58705.2524,lga
34880,Mareeba (S),53491.05,lga
35010,Moreton Bay (R),2041.4746,lga
35250,Mornington (S),1247.6932,lga
35300,Mount Isa (C),43713.0221,lga
35600,Murweh (S),40699.7585,lga
35670,Napranum (S),2004.3545,lga
35740,Noosa (S),869.8657,lga
35760,North Burnett (R),19669.8489,lga
35780,Northern Peninsula Area (R),1052.0676,lga
35790,Palm Island (S),71.9928,lga
35800,Paroo (S),47612.8774,lga
36070,Pormpuraaw (S),4395.3657,lga
36150,Quilpie (S),67414.6563,lga
36250,Redland (C),537.167,lga
36300,Richmond (S),26580.7478,lga
36370,Rockhampton (R),6570.2667,lga
36510,Scenic Rim (R),4242.7432,lga
36580,Somerset (R),5373.4337,lga
36630,South Burnett (R),8381.558,lga
36660,Southern Downs (R),7107.816,lga
36720,Sunshine Coast (R),2253.8526,lga
36820,Tablelands (R),11292.8698,lga
36910,Toowoomba (R),12957.2108,lga
36950,Torres (S),883.731,lga
36960,Torres Strait Island (R),490.031,lga
37010,Townsville (C),3730.82,lga
37300,Weipa (T),10.8218,lga
37310,Western Downs (R),37936.593,lga
37340,Whitsunday (R),23818.8922,lga
37400,Winton (S),53813.4826,lga
37550,Woorabinda (S),390.5578,lga
37570,Wujal Wujal (S),11.842,lga
37600,Yarrabah (S),158.8381,lga
40070,Adelaide (C),15.5733,lga
40120,Adelaide Hills (DC),794.4957,lga
40150,Adelaide Plains (DC),932.4913,lga
40220,Alexandrina (DC),1826.8066,lga
40250,Anangu Pitjantjatjara (AC),102353.0512,lga
40310,Barossa (DC),893.5424,lga
40430,Barunga West (DC),1590.3887,lga
40520,Berri and Barmera (DC),476.1962,lga
40700,Burnside (C),27.5183,lga
40910,Campbelltown (C) (SA),24.3486,lga
41010,Ceduna (DC),5420.3436,lga
41060,Charles Sturt (C),54.7876,lga
41140,Clare and Gilbert Valleys (DC),1892.4466,lga
41190,Cleve (DC),5018.8484,lga
41330,Coober Pedy (DC),77.6795,lga
41560,Copper Coast (DC),772.9149,lga
41750,Elliston (DC),6741.9317,lga
41830,Flinders Ranges (DC),4070.4827,lga
41960,Franklin Harbour (DC),2755.564,lga
42030,Gawler (T),41.1379,lga
42110,Goyder (DC),6715.1418,lga
42250,Grant (DC),1898.0143,lga
42600,Holdfast Bay (C),13.752,lga
42750,Kangaroo Island (DC),4400.8558,lga
43080,Karoonda East Murray (DC),4415.7959,lga
43220,Kimba (DC),5697.1076,lga
43360,Kingston (DC) (SA),3339.7952,lga
43650,Light (RegC),1276.8453,lga
43710,Lower Eyre Peninsula (DC),4721.2875,lga
43790,Loxton Waikerie (DC),7763.9231,lga
44000,Maralinga Tjarutja (AC),102703.899,lga
44060,Marion (C),55.6407,lga
44210,Mid Murray (DC),6271.6254,lga
44340,Mitcham (C),75.5468,lga
44550,Mount Barker (DC),594.6405,lga
44620,Mount Gambier (C),33.8938,lga
44830,Mount Remarkable (DC),3422.7733,lga
45040,Murray Bridge (RC),1831.7597,lga
45090,Naracoorte and Lucindale (DC),4520.127,lga
45120,Northern Areas (DC),2986.1818,lga
45290,Norwood Payneham St Peters (C),15.1036,lga
45340,Onkaparinga (C),518.1251,lga
45400,Orroroo/Carrieton (DC),3321.8238,lga
45540,Peterborough (DC),3020.142,lga
45680,Playford (C),345.203,lga
45890,Port Adelaide Enfield (C),91.7586,lga
46090,Port Augusta (C),1195.5836,lga
46300,Port Lincoln (C),30.3681,lga
46450,Port Pirie City and Dists (M),1760.7097,lga
46510,Prospect (C),7.7915,lga
46670,Renmark Paringa (DC),915.8655,lga
46860,Robe (DC),1091.7162,lga
46970,Roxby Downs (M),110.4762,lga
47140,Salisbury (C),159.8432,lga
47290,Southern Mallee (DC),5702.2095,lga
47490,Streaky Bay (DC),6222.8591,lga
47630,Tatiara (DC),6527.2084,lga
47700,Tea Tree Gully (C),95.2108,lga
47800,The Coorong (DC),8833.434,lga
47910,Tumby Bay (DC),2669.0747,lga
47980,Unley (C),14.2703,lga
48050,Victor Harbor (C),384.6255,lga
48130,Wakefield (DC),3468.4881,lga
48260,Walkerville (M),3.53,lga
48340,Wattle Range (DC),3926.3233,lga
48410,West Torrens (C),37.04,lga
