date,start,n,km,stay
2020-05-04,33200,217.0,0.0,1.0
2020-05-04,33220,21497.87115979743,0.6247193292652065,0.9546466720935922
2020-05-04,33360,10082.995884851374,0.6236937877373637,0.9447584818677915
2020-05-04,33430,107714.98159478475,0.9009291744122093,0.9383977776032022
2020-05-04,33610,1000.2908649721793,0.0,1.0
2020-05-04,33620,8495.472486165942,0.30254732206746954,0.967158977860934
2020-05-04,33800,1114.8874990204172,0.0,1.0
2020-05-04,33960,50974.6552363456,1.1813426704049141,0.9186202619676155
2020-05-04,33980,5880.7879541056855,2.0298156026102787,0.8996629782719106
2020-05-04,34420,66.0,0.0,1.0
2020-05-04,34530,4014.1498736098415,0.8226164365832369,0.9454870754009911
2020-05-04,34580,9625.738696126464,0.18481641722544317,0.9786668636143833
